,state,date,value
1762,NY,20170626,54336.82911036197
1763,NY,20170627,41473.78156981999
1764,NY,20170628,46400.613887880856
1765,NY,20170629,40728.58286534439
1766,NY,20170630,52479.67323245993
1767,NY,20170701,47170.435923069024
1768,NY,20170702,43831.870595887885
1769,NY,20170703,42025.89689920815
1770,NY,20170704,37453.009748547316
1771,NY,20170705,50610.10551979519
1772,NY,20170706,53316.78572837345
1773,NY,20170707,44432.06440746454
1774,NY,20170708,26533.225148852132
1775,NY,20170709,42036.74954113767
1776,NY,20170710,65906.49485150907
1777,NY,20170711,50137.83024222439
1778,NY,20170712,39387.508323387716
1779,NY,20170713,30323.0115087257
1780,NY,20170714,47229.345712628
1781,NY,20170715,53734.19923793083
1782,NY,20170716,37541.824406962834
1783,NY,20170717,53452.528652698216
1784,NY,20170718,47719.09449401009
1785,NY,20170719,35011.871371445115
1786,NY,20170720,58544.803444048215
1787,NY,20170721,42714.20132158866
1788,NY,20170722,62135.1437231667
1789,NY,20170723,52054.9324210571
1790,NY,20170724,50064.379920995394
1791,NY,20170725,34869.657170282604
1792,NY,20170726,55605.12517192185
1793,NY,20170727,65994.60474549027
1794,NY,20170728,41250.126162564564
1795,NY,20170729,37452.80860759274
1796,NY,20170730,28848.3923121776
1797,NY,20170731,31667.948576652325
1798,NY,20170801,52612.95906835901
1799,NY,20170802,47197.347092812946
1800,NY,20170803,54677.06490841669
1801,NY,20170804,51334.092974092266
1802,NY,20170805,46695.083790636345
1803,NY,20170806,32781.60275191834
1804,NY,20170807,53318.7935430248
1805,NY,20170808,39770.31945816817
1806,NY,20170809,47358.15636028986
1807,NY,20170810,29519.78842788085
1808,NY,20170811,37670.66098587378
1809,NY,20170812,34303.163339855775
1810,NY,20170813,36829.3376945465
1811,NY,20170814,57309.74240559666
1812,NY,20170815,44020.125282918576
1813,NY,20170816,56792.48219350119
1814,NY,20170817,38984.60855185649
1815,NY,20170818,49796.40900091972
1816,NY,20170819,42864.85934017116
1817,NY,20170820,39582.10731250331
1818,NY,20170821,29835.389456083183
1819,NY,20170822,42056.12626236383
1820,NY,20170823,52546.87036158352
1821,NY,20170824,48775.17014762789
1822,NY,20170825,55743.8344075911
1823,NY,20170826,51481.84917625966
1824,NY,20170827,28805.72297239424
1825,NY,20170828,37990.89087613445
1826,NY,20170829,57694.43458590249
